website;r_hint;pow_10n;fcp_10n;size
aljazeera_com.html;css-prefetch;47.80844096;1000.215625;light
aljazeera_com.html;css-preload;46.87257145;869.9577122;light
aljazeera_com.html;img-prefetch;47.27218853;769.8257228;light
aljazeera_com.html;img-preload;46.54071627;996.9425839;light
aljazeera_com.html;none;52.23631241;850.2712487;light
aljazeera_com.html;scr-prefetch;45.11604789;1090.770141;light
aljazeera_com.html;scr-preload;45.72453936;994.2367789;light
aljazeera_com.html;url-preconnect;51.19129007;834.4828878;light
aljazeera_net.html;css-prefetch;44.36856518;992.4981268;light
aljazeera_net.html;css-preload;44.82929508;952.1673116;light
aljazeera_net.html;img-prefetch;45.04755158;886.5151032;light
aljazeera_net.html;img-preload;45.10132398;918.014821;light
aljazeera_net.html;none;44.02572397;863.2408109;light
aljazeera_net.html;scr-prefetch;45.3666785;989.4756345;light
aljazeera_net.html;scr-preload;45.41704853;946.7607183;light
aljazeera_net.html;url-preconnect;45.02884746;931.9171813;light
avira_com.html;css-prefetch;43.26615438;1412.267909;heavy
avira_com.html;css-preload;43.86419243;1301.45549;heavy
avira_com.html;img-prefetch;44.78563634;1407.64735;heavy
avira_com.html;img-preload;42.64771539;1285.517017;heavy
avira_com.html;none;44.25923929;1325.90859;heavy
avira_com.html;scr-prefetch;43.42807652;1341.5551;heavy
avira_com.html;scr-preload;41.96644205;1139.037109;heavy
avira_com.html;url-preconnect;44.24691969;1225.493159;heavy
binance_com.html;css-prefetch;44.35474378;1554.712875;heavy
binance_com.html;css-preload;43.34546991;1851.892429;heavy
binance_com.html;img-prefetch;43.83234606;1793.664698;heavy
binance_com.html;img-preload;43.33758789;1706.649437;heavy
binance_com.html;none;44.69112449;1569.558105;heavy
binance_com.html;scr-prefetch;43.24074298;1690.697586;heavy
binance_com.html;scr-preload;44.97281156;1679.479224;heavy
binance_com.html;url-preconnect;44.17842204;2085.862252;heavy
bit_ly.html;css-prefetch;43.3991207;922.2651299;light
bit_ly.html;css-preload;45.48989686;914.2514577;light
bit_ly.html;img-prefetch;42.97072946;947.3682643;light
bit_ly.html;img-preload;44.35829009;881.7521527;light
bit_ly.html;none;44.29796325;935.4129123;light
bit_ly.html;scr-prefetch;43.17578312;947.3490056;light
bit_ly.html;scr-preload;43.42769388;917.1992574;light
bit_ly.html;url-preconnect;43.92075264;974.752529;light
buzzfeed_com.html;css-prefetch;48.15867129;829.8366064;light
buzzfeed_com.html;css-preload;44.65345775;896.9558556;light
buzzfeed_com.html;img-prefetch;47.4925838;841.1295078;light
buzzfeed_com.html;img-preload;45.77808746;816.6198458;light
buzzfeed_com.html;none;49.24165174;824.1678802;light
buzzfeed_com.html;scr-prefetch;48.84096354;784.0914064;light
buzzfeed_com.html;scr-preload;48.72361953;861.2900899;light
buzzfeed_com.html;url-preconnect;47.93531749;795.8123481;light
divar_ir.html;css-prefetch;44.48992364;705.718441;light
divar_ir.html;css-preload;45.08053372;739.6861073;light
divar_ir.html;img-prefetch;44.26032047;715.224282;light
divar_ir.html;img-preload;44.47288386;717.0433184;light
divar_ir.html;none;44.69646;783.9929947;light
divar_ir.html;scr-prefetch;44.49487105;781.6565885;light
divar_ir.html;scr-preload;44.65142096;709.7421593;light
divar_ir.html;url-preconnect;44.32298472;711.7955538;light
dropbox_com.html;css-prefetch;44.22363767;899.3628644;heavy
dropbox_com.html;css-preload;44.40730143;903.3515359;heavy
dropbox_com.html;img-prefetch;44.8005691;917.06505;heavy
dropbox_com.html;img-preload;44.40641353;926.3260656;heavy
dropbox_com.html;none;44.84791612;848.5888914;heavy
dropbox_com.html;scr-prefetch;45.13416662;873.552466;heavy
dropbox_com.html;scr-preload;43.71796403;881.284799;heavy
dropbox_com.html;url-preconnect;44.26605609;931.548488;heavy
elpais_com.html;css-prefetch;47.39806269;770.1221856;light
elpais_com.html;css-preload;46.93936135;749.0530448;light
elpais_com.html;img-prefetch;46.11075991;794.7345166;light
elpais_com.html;img-preload;46.29798612;800.5913626;light
elpais_com.html;none;45.52318632;763.306684;light
elpais_com.html;scr-prefetch;45.70425988;766.1648406;light
elpais_com.html;scr-preload;45.91427311;751.2376388;light
elpais_com.html;url-preconnect;47.03292755;708.2490799;light
freepik_com.html;css-prefetch;46.29485136;1344.524948;heavy
freepik_com.html;css-preload;46.00243193;1312.295878;heavy
freepik_com.html;img-prefetch;43.26671316;1344.01775;heavy
freepik_com.html;img-preload;45.95643763;1192.113937;heavy
freepik_com.html;none;46.41862809;1256.44404;heavy
freepik_com.html;scr-prefetch;47.93463964;1223.6036;heavy
freepik_com.html;scr-preload;46.74079087;1324.878183;heavy
freepik_com.html;url-preconnect;46.91532316;1234.060051;heavy
gismeteo_ru.html;css-prefetch;45.69801117;956.6930802;light
gismeteo_ru.html;css-preload;45.52964464;833.1797065;light
gismeteo_ru.html;img-prefetch;45.35818581;903.917115;light
gismeteo_ru.html;img-preload;45.64671831;792.5346237;light
gismeteo_ru.html;none;46.39842797;758.6455958;light
gismeteo_ru.html;scr-prefetch;46.23447808;881.8153654;light
gismeteo_ru.html;scr-preload;46.07500312;857.0286303;light
gismeteo_ru.html;url-preconnect;46.01677157;782.6753622;light
hindustantimes_com.html;css-prefetch;45.67855619;668.4930456;light
hindustantimes_com.html;css-preload;45.02315642;779.0598828;light
hindustantimes_com.html;img-prefetch;46.7615211;670.4624845;light
hindustantimes_com.html;img-preload;43.37454642;766.9251341;light
hindustantimes_com.html;none;43.67211101;725.5869368;light
hindustantimes_com.html;scr-prefetch;46.70745533;677.8507837;light
hindustantimes_com.html;scr-preload;46.86508614;877.4898142;light
hindustantimes_com.html;url-preconnect;44.57478672;919.4313898;light
