Column1;Column2;Column3
adjust_com-htm;css-prefetch;633.0
adjust_com-htm;css-preload;783.7
adjust_com-htm;img-prefetch;889.1
adjust_com-htm;img-preload;1005.2
adjust_com-htm;none;544.4
adjust_com-htm;scr-prefetch;1068.6
adjust_com-htm;scr-preload;900.1
adjust_com-htm;url-preconnect;726.8
adp_com-htm;css-prefetch;1346.1
adp_com-htm;css-preload;1323.6
adp_com-htm;img-prefetch;1366.3
adp_com-htm;img-preload;1326.3
adp_com-htm;none;1728.2
adp_com-htm;scr-prefetch;1350.9
adp_com-htm;scr-preload;2732.7
adp_com-htm;url-preconnect;1759.0
aljazeera_com-htm;css-prefetch;922.5
aljazeera_com-htm;css-preload;865.3
aljazeera_com-htm;img-prefetch;688.1
aljazeera_com-htm;img-preload;1061.7
aljazeera_com-htm;none;1037.3
aljazeera_com-htm;scr-prefetch;1537.0
aljazeera_com-htm;scr-preload;1509.3
aljazeera_com-htm;url-preconnect;578.9
aljazeera_net-htm;css-prefetch;974.4
aljazeera_net-htm;css-preload;944.8
aljazeera_net-htm;img-prefetch;679.6
aljazeera_net-htm;img-preload;771.0
aljazeera_net-htm;none;908.9
aljazeera_net-htm;scr-prefetch;1231.1
aljazeera_net-htm;scr-preload;1072.3
aljazeera_net-htm;url-preconnect;988.1
avira_com-htm;css-prefetch;1236.5
avira_com-htm;css-preload;1152.7
avira_com-htm;img-prefetch;1695.8
avira_com-htm;img-preload;1311.5
avira_com-htm;none;1382.9
avira_com-htm;scr-prefetch;1351.5
avira_com-htm;scr-preload;1252.4
avira_com-htm;url-preconnect;1094.7
beget_ru-htm;css-prefetch;2249.3
beget_ru-htm;css-preload;2052.0
beget_ru-htm;img-prefetch;2159.6
beget_ru-htm;img-preload;2119.9
beget_ru-htm;none;2132.2
beget_ru-htm;scr-prefetch;3092.0
beget_ru-htm;scr-preload;3133.7
beget_ru-htm;url-preconnect;2148.1
bild_de-htm;css-prefetch;958.6
bild_de-htm;css-preload;1216.2
bild_de-htm;img-prefetch;1230.5
bild_de-htm;img-preload;1065.4
bild_de-htm;none;1027.4
bild_de-htm;scr-prefetch;1340.9
bild_de-htm;scr-preload;859.7
bild_de-htm;url-preconnect;826.6
binance_com-htm;css-prefetch;1838.4
binance_com-htm;css-preload;1684.6
binance_com-htm;img-prefetch;1911.0
binance_com-htm;img-preload;1409.0
binance_com-htm;none;1677.5
binance_com-htm;scr-prefetch;1390.0
binance_com-htm;scr-preload;1625.7
binance_com-htm;url-preconnect;2444.8
bit_ly-htm;css-prefetch;1134.0
bit_ly-htm;css-preload;808.1
bit_ly-htm;img-prefetch;828.9
bit_ly-htm;img-preload;880.6
bit_ly-htm;none;857.9
bit_ly-htm;scr-prefetch;910.1
bit_ly-htm;scr-preload;923.4
bit_ly-htm;url-preconnect;1030.5
bitrix24_ru-htm;css-prefetch;868.5
bitrix24_ru-htm;css-preload;1353.2
bitrix24_ru-htm;img-prefetch;942.7
bitrix24_ru-htm;img-preload;963.8
bitrix24_ru-htm;none;910.6
bitrix24_ru-htm;scr-prefetch;1049.9
bitrix24_ru-htm;scr-preload;1143.5
bitrix24_ru-htm;url-preconnect;1072.5
bund_de-htm;css-prefetch;629.2
bund_de-htm;css-preload;629.2
bund_de-htm;img-prefetch;629.2
bund_de-htm;img-preload;629.2
bund_de-htm;none;629.2
bund_de-htm;scr-prefetch;629.2
bund_de-htm;scr-preload;629.2
bund_de-htm;url-preconnect;629.2
buzzfeed_com-htm;css-prefetch;735.6
buzzfeed_com-htm;css-preload;841.8
buzzfeed_com-htm;img-prefetch;698.6
buzzfeed_com-htm;img-preload;854.5
buzzfeed_com-htm;none;925.1
buzzfeed_com-htm;scr-prefetch;935.7
buzzfeed_com-htm;scr-preload;962.3
buzzfeed_com-htm;url-preconnect;754.1
citi_com-htm;css-prefetch;852.4
citi_com-htm;css-preload;817.1
citi_com-htm;img-prefetch;997.2
citi_com-htm;img-preload;934.5
citi_com-htm;none;766.7
