Website,r_hint,power,content size
9gag_com.html,url-preconnect,53.668008,light
9gag_com.html,scr-preload,49.117212,light
9gag_com.html,scr-prefetch,52.17156,light
9gag_com.html,none,54.059587,light
9gag_com.html,img-preload,37.671192,light
9gag_com.html,img-prefetch,53.4843,light
9gag_com.html,css-preload,53.35416,light
9gag_com.html,css-prefetch,53.040312,light
adjust_com.html,url-preconnect,41.58486,heavy
adjust_com.html,scr-preload,43.311024,heavy
adjust_com.html,scr-prefetch,42.055632,heavy
adjust_com.html,none,43.875622,heavy
adjust_com.html,img-preload,44.38476,heavy
adjust_com.html,img-prefetch,45.56736,heavy
adjust_com.html,css-preload,45.351036,heavy
adjust_com.html,css-prefetch,42.526404,heavy
adp_com.html,url-preconnect,41.741784,heavy
adp_com.html,scr-preload,44.72334,heavy
adp_com.html,scr-prefetch,44.4159072,heavy
adp_com.html,none,48.353169,heavy
adp_com.html,img-preload,36.9208944,heavy
adp_com.html,img-prefetch,39.37248,heavy
adp_com.html,css-preload,43.93872,heavy
adp_com.html,css-prefetch,46.449504,heavy
aljazeera_com.html,url-preconnect,52.098768,light
aljazeera_com.html,scr-preload,58.218804,light
aljazeera_com.html,scr-prefetch,49.43106,light
aljazeera_com.html,none,55.133685,light
aljazeera_com.html,img-preload,47.810952,light
aljazeera_com.html,img-prefetch,38.60568,light
aljazeera_com.html,css-preload,48.018744,light
aljazeera_com.html,css-prefetch,48.64644,light
aljazeera_net.html,url-preconnect,44.72334,light
aljazeera_net.html,scr-preload,47.704896,light
aljazeera_net.html,scr-prefetch,44.2601712,light
aljazeera_net.html,none,49.668687,light
aljazeera_net.html,img-preload,45.2992176,light
aljazeera_net.html,img-prefetch,45.0275328,light
aljazeera_net.html,css-preload,44.880264,light
aljazeera_net.html,css-prefetch,40.80024,light
ameblo_jp.html,url-preconnect,46.763352,light
ameblo_jp.html,scr-preload,44.880264,light
ameblo_jp.html,scr-prefetch,43.8241104,light
ameblo_jp.html,none,46.28437,light
ameblo_jp.html,img-preload,44.4551328,light
ameblo_jp.html,img-prefetch,46.3483008,light
ameblo_jp.html,css-preload,46.763352,light
ameblo_jp.html,css-prefetch,44.252568,light
avira_com.html,url-preconnect,45.50796,heavy
avira_com.html,scr-preload,45.194112,heavy
avira_com.html,scr-prefetch,44.540496,heavy
avira_com.html,none,48.720656,heavy
avira_com.html,img-preload,37.0146816,heavy
avira_com.html,img-prefetch,38.697984,heavy
avira_com.html,css-preload,44.252568,heavy
avira_com.html,css-prefetch,42.526404,heavy
beget_ru.html,url-preconnect,42.683328,heavy
beget_ru.html,scr-preload,46.920276,heavy
beget_ru.html,scr-prefetch,44.9142624,heavy
beget_ru.html,none,44.671783,heavy
beget_ru.html,img-preload,43.2671616,heavy
beget_ru.html,img-prefetch,43.3041408,heavy
beget_ru.html,css-preload,44.095644,heavy
beget_ru.html,css-prefetch,44.566416,heavy
bild_de.html,url-preconnect,46.763352,light
bild_de.html,scr-preload,45.821808,light
bild_de.html,scr-prefetch,48.3716016,light
bild_de.html,none,55.11993,light
bild_de.html,img-preload,48.3316704,light
bild_de.html,img-prefetch,49.3846992,light
bild_de.html,css-preload,48.64644,light
bild_de.html,css-prefetch,53.197236,light
bilibili_com.html,url-preconnect,92.899008,light
bilibili_com.html,scr-preload,61.671132,light
bilibili_com.html,scr-prefetch,102.157524,light
bilibili_com.html,none,136.17595,light
bilibili_com.html,img-preload,82.695816,light
bilibili_com.html,img-prefetch,77.875884,light
bilibili_com.html,css-preload,110.474496,light
bilibili_com.html,css-prefetch,136.837728,light
binance_com.html,url-preconnect,43.93872,heavy
binance_com.html,scr-preload,42.36948,heavy
binance_com.html,scr-prefetch,43.781796,heavy
binance_com.html,none,47.102128,heavy
binance_com.html,img-preload,45.2257344,heavy
binance_com.html,img-prefetch,43.320636,heavy
binance_com.html,css-preload,42.055632,heavy
binance_com.html,css-prefetch,44.095644,heavy
bit_ly.html,url-preconnect,46.606428,light
bit_ly.html,scr-preload,42.212556,light
bit_ly.html,scr-prefetch,46.6273584,light
bit_ly.html,none,49.62569,light
bit_ly.html,img-preload,45.8306784,light
bit_ly.html,img-prefetch,38.7596016,light
bit_ly.html,css-preload,45.351036,light
bit_ly.html,css-prefetch,41.741784,light
bitrix24_ru.html,url-preconnect,46.920276,light
bitrix24_ru.html,scr-preload,42.36948,light
bitrix24_ru.html,scr-prefetch,45.50796,light
bitrix24_ru.html,none,48.961549,light
bitrix24_ru.html,img-preload,44.8208208,light
bitrix24_ru.html,img-prefetch,38.479104,light
bitrix24_ru.html,css-preload,42.212556,light
bitrix24_ru.html,css-prefetch,44.72334,light
bmj_com.html,url-preconnect,47.704896,light
bmj_com.html,scr-preload,57.748032,light
bmj_com.html,scr-prefetch,47.0011248,light
bmj_com.html,none,47.504709,light
bmj_com.html,img-preload,37.4523552,light
bmj_com.html,img-prefetch,44.340912,light
bmj_com.html,css-preload,45.978732,light
bmj_com.html,css-prefetch,44.72334,light
booking_com.html,url-preconnect,46.135656,heavy
booking_com.html,scr-preload,43.93872,heavy
booking_com.html,scr-prefetch,49.901832,heavy
booking_com.html,none,53.376713,heavy
booking_com.html,img-preload,45.1322928,heavy
booking_com.html,img-prefetch,43.5105,heavy
booking_com.html,css-preload,47.391048,heavy
booking_com.html,css-prefetch,42.683328,heavy
bund_de.html,url-preconnect,43.311024,heavy
bund_de.html,scr-preload,41.58486,heavy
bund_de.html,scr-prefetch,43.1077248,heavy
bund_de.html,none,44.951601,heavy
bund_de.html,img-preload,37.7337168,heavy
bund_de.html,img-prefetch,43.502508,heavy
bund_de.html,css-preload,43.467948,heavy
bund_de.html,css-prefetch,41.271012,heavy
buzzfeed_com.html,url-preconnect,46.29258,light
buzzfeed_com.html,scr-preload,53.824932,light
buzzfeed_com.html,scr-prefetch,46.6273584,light
buzzfeed_com.html,none,53.551029,light
buzzfeed_com.html,img-preload,37.7962416,light
buzzfeed_com.html,img-prefetch,49.278096,light
buzzfeed_com.html,css-preload,48.175668,light
buzzfeed_com.html,css-prefetch,47.234124,light
cbc_ca.html,url-preconnect,45.351036,light
cbc_ca.html,scr-preload,45.037188,light
cbc_ca.html,scr-prefetch,44.6027904,light
cbc_ca.html,none,46.850065,light
cbc_ca.html,img-preload,38.732256,light
cbc_ca.html,img-prefetch,41.808816,light
cbc_ca.html,css-preload,46.449504,light
cbc_ca.html,css-prefetch,46.135656,light
cbsnews_com.html,url-preconnect,60.886512,light
cbsnews_com.html,scr-preload,77.834304,light
cbsnews_com.html,scr-prefetch,69.203484,light
